State,"Overall Rank
(1 = Happiest)"
Louisiana,47
West Virginia,50
Mississippi,44
Alaska,42
New Mexico,39
Illinois,29
New York,17
Delaware,24
Arkansas,49
Ohio,35
Pennsylvania,28
Florida,27
Connecticut,10
Oklahoma,48
Georgia,22
Michigan,37
Alabama,43
Maryland,5
Kentucky,46
Texas,25
New Jersey,4
Indiana,36
Rhode Island,26
North Carolina,32
South Carolina,34
Nevada,19
Vermont,16
Wyoming,31
Missouri,40
Virginia,14
Arizona,20
Kansas,33
California,6
Wisconsin,18
Hawaii,1
Tennessee,45
Maine,30
Oregon,41
Massachusetts,13
New Hampshire,21
South Dakota,12
Colorado,23
Nebraska,11
Washington,15
Iowa,8
Montana,38
Minnesota,3
North Dakota,7
Idaho,9
Utah,2