State,Female,LEB,Male,LEB
United States,Female,81.2,Male,76.2
West Virginia,Female,77.3,Male,71.7
Mississippi,Female,77.5,Male,71.7
Kentucky,Female,77.9,Male,72.6
Alabama,Female,78,Male,72.1
Tennessee,Female,78.1,Male,73
Arkansas,Female,78.2,Male,73
Oklahoma,Female,78.2,Male,73.1
Louisiana,Female,78.5,Male,72.7
Indiana,Female,79.3,Male,74.4
Ohio,Female,79.3,Male,74.2
Missouri,Female,79.3,Male,73.9
South Carolina,Female,79.3,Male,73.7
Georgia,Female,79.7,Male,74.7
Michigan,Female,80.1,Male,75.4
Alaska,Female,80.2,Male,76
North Carolina,Female,80.2,Male,74.9
Wyoming,Female,80.3,Male,76.1
Kansas,Female,80.3,Male,75.7
New Mexico,Female,80.4,Male,74.2
Nevada,Female,80.5,Male,75.4
District of Columbia,Female,80.5,Male,74.6
Delaware,Female,80.6,Male,74.8
Texas,Female,80.8,Male,76
Pennsylvania,Female,80.8,Male,75.5
Montana,Female,81.1,Male,76.5
Maryland,Female,81.1,Male,75.8
Maine,Female,81.2,Male,75.9
Idaho,Female,81.3,Male,76.8
Virginia,Female,81.3,Male,76.6
Illinois,Female,81.3,Male,76.2
Nebraska,Female,81.4,Male,76.8
South Dakota,Female,81.4,Male,76.5
Utah,Female,81.5,Male,77.7
New Hampshire,Female,81.5,Male,76.7
Arizona,Female,81.5,Male,76
Wisconsin,Female,81.6,Male,76.9
Iowa,Female,81.6,Male,76.8
Florida,Female,81.6,Male,76.2
Vermont,Female,81.7,Male,77
North Dakota,Female,81.7,Male,77
Oregon,Female,81.9,Male,77.5
Washington,Female,82.1,Male,77.9
Rhode Island,Female,82.2,Male,77.2
Colorado,Female,82.3,Male,77.7
New Jersey,Female,82.3,Male,77.3
Massachusetts,Female,82.5,Male,77.7
Minnesota,Female,82.6,Male,78.4
New York,Female,82.8,Male,78.1
Connecticut,Female,82.9,Male,77.9
California,Female,83.1,Male,78.4
Hawaii,Female,84,Male,78